iteration	change	metric	result	decision	notes
0	baseline audit	prior LACE focused tests	19 passed	keep	512-motion split frozen; full simulator gate not yet run
1	add rollout-to-atlas builder	atlas/schema/signature tests	23 passed; Ruff clean	keep	enforces D_atlas, frozen normalizer, DR coverage, CRN pairing, deterministic digest
2	build two-motion contract atlas	deterministic artifact hash	2 builds byte-identical; atlas b10d6a04	keep	synthetic contract smoke only; scientific_use=false
3	verify 2026 competitive landscape	primary-source novelty audit	claim narrowed; baselines expanded	keep	SONIC/EGM/Athena direct constraints; ASPIRE/OmniTrack/ZEST/FAST/GTP-FA adjacent
4	add pure episode probe primitives	six-channel probe contract	36 LACE tests passed; Ruff clean	keep	strict shapes/domains; bounded co-occurring scores; onsets and transient diagnostics
5	export probe API	package import smoke	initial __all__ placement failed; corrected; import and Ruff pass	keep	autoresearch caught integration syntax error before broader validation
6	audit installed Isaac/SONIC probe interfaces	pre-reset signal validity	RecorderTerm post-step is the only clean hook; exact tensors and caveats mapped	keep	wrapper observes terminal environments after reset; recorder remains opt-in
7	add /data readiness verifier	storage and provenance gate	7 tests passed; live split plus referenced manifests ready; 443376398336 bytes free	keep	validates artifact bytes, self-digests, paired dataset binding, and every artifact root
8	rerun complete CPU LACE suite	focused regression tests	36 passed in 0.08 s	keep	probe, atlas, split, gate, and accounting contracts remain green
9	remove probe attribution confounds	physical mechanism fidelity	15 probe tests passed; Ruff and Black clean	keep	uses requested-vs-applied PD torque, subtracts reference limit proximity, and removes reset offset from drift
10	apply frozen channel calibration	atlas normalizer integrity	29 tests passed; deterministic atlas 353d96ee	keep	normalizer scales now affect q instead of serving as decorative metadata; contract lock refreshed
11	strengthen matched-compute gate	PPO schedule equivalence	4 accounting tests passed; Ruff and Black clean	keep	rejects equal totals produced by different env counts, rollout cadence, epochs, or minibatch factorization
12	freeze representation-blind RQ1 panels	intervention-circularity control	4 tests passed; 2 builds byte-identical; panel digest 86f6ac4c	keep	8 source-disjoint panels use provenance/duration only; motion counts 29-30 and duration ratio 1.056
13	lock RQ1 panel provenance	storage and manifest gate	8 tests passed; live panel plus split manifest ready; 443376373760 bytes free	keep	panel bytes, internal digest, frozen split digests, and referenced split bytes are jointly verified
14	add opt-in pre-reset Isaac recorder	live probe boundary	39 focused tests passed; Ruff and Black clean	keep	exact SONIC tensors, frozen threshold digest, bounded buffering, honest termination and DR-seed semantics, and no HDF5 export
15	wire LACE recorder Hydra group	launch configuration gate	base-eval compose and checkpoint-merge audit passed	keep	opt-in nested lazy factories survive release overrides; nominal events, exact motions, sampler disablement, and termination profile resolve correctly
