iteration	change	metric	result	decision
1	regenerate canonical additive index with dated backup	independent sources / verified variants	2 / 3; 68 episodes; 150 motions	keep
2	refresh board from corrected draft and static counters	stale three-family claims	0 remaining; board states 2 sources / 3 variants	keep
3	document and execute explicit focused test list	tests passed	21/21 (10 coverage + 5 route + 6 split)	keep
4	smoke canonical index consumers	coverage, corpus stats, difficulty figure	3/168 bins; 68/150 rows; duck_003 clearances exact	keep
5	implement ConstraintSpec, measured USDA writer, 5 overhead/3 lateral archetypes, and strict keepout	focused Phase-2 tests	23/23 pass	keep
6	instantiate thin-flange ibeam against hashed duck_003 executions	hard-cell non-binding web clearance	-6.6 mm against a 50 mm requirement	discard
7	place ibeam web behind a 140 mm binding flange	hard-cell minimum non-binding clearance	53.42 mm	keep
8	audit exact mf_005_c08 motion hashes against all runtime logs	matching plane evidence	0 nominal / 0 adapted; legacy extraction metadata also incomplete	keep refusal
9	screen semantically valid stand-to-walk clips for top-ranked one-sided arm-tuck targets	best left / tracked right predicted delivered windows	42.003 / 41.616 mm, both over 30 mm spend gate	keep
10	emit package-addressable scene IDs and approval manifests	CPU archetype preflights / proposed GPU cells	5/5 pass; 16 E1a + 4 E1b + <=6 probes, 0 launched	keep
