iteration	change	metric	result	decision	notes
0	audit atlas instrument identity	dirty-tree reproducibility gate	atlas requires runtime digests and commit but no CPU builder or exact dirty source-byte binding	discard	clean-commit-only identity cannot reproduce the active uncommitted research instrument
1	build source-bound scientific instrument	focused plus recorder/atlas integration gate	64 passed; Ruff and Black clean	keep	eight explicit JSON payloads and exact seed/termination semantics are self-hashed; sorted regular-file bundle rejects escape, symlink, duplicate, ordering, byte, and aggregate-digest drift; no simulator or GPU
2	prelaunch-only instrument materialization	live-value completeness gate	post-checkpoint Hydra, installed termination trace, resolved event config, and live environment fingerprint unavailable before process initialization	discard	prelaunch construction would fabricate or omit causal runtime values
3	runtime handshake and receipt finalization	one-cell provenance gate	immutable raw plus deterministic enriched JSONL; checkpoint/config/source/plan/seed/trace contracts bound; focused tests green	keep	materialize after checkpoint merge and DR initialization but before rollout; receipt is atomic last-write commit marker
4	one global atlas instrument	multi-cell family gate	cell-specific checkpoint, seed, assignments, censoring horizon, and output paths necessarily produce different exact instrument digests	discard	migrated rollout schema to per-cell instruments plus a separately validated common measurement-family digest
5	receipt-driven multi-cell collector	frozen schedule and artifact-chain gate	56 focused tests passed before broad sweep; strict lock rebuild, exact cell coverage, byte rehash, raw-to-enriched recomputation, robot/DR/termination checks, deep atlas validation	keep	collector accepts explicit receipt paths only, orders by frozen schedule, rejects missing/extra/duplicate/half-state/symlink/nonfinite/tampered artifacts, and official atlas CLI performs deep recollection
6	diagnostic-reconstructed mechanism scores	rehashed outcome-alias attack gate	56 probe/runtime tests passed	keep	all six scientific scores are recomputed from frozen diagnostics and thresholds; contact persists the otherwise unrecoverable normalized onset component; rewriting both score aliases no longer passes
7	pre-outcome dataset/config/execution registry	operator-choice and cherry-pick gate	92 focused tests passed with one skip	keep	locked paired robot+SMPL bytes, per-policy checkpoint companion config bytes, deterministic cell output paths, exact receipt inventory, and extra-attempt rejection close self-consistent alternate-input and explicit-list cherry-pick attacks
8	zero-outcome live protocol preflight	protocol bootstrap-cycle gate	404 broad LACE tests passed with two skips; 25 readiness tests passed	keep	manager-derived thresholds, sensors, termination, DR, and window semantics deterministically rebuild the protocol; receipt-last proves zero recorder rows and absent raw output; protocol-lock schema v3 binds the receipt; normal scientific launch remains blocked pending an external append-only anchor
9	strict preflight receipt closure	fully rehashed orphan-field and normal-launch-control-flow gates	175 focused tests passed; 514 whole-LACE tests passed after concurrent RQ1 fixture migration	keep	receipt embeds and hashes full resolved Hydra config; exact request/plan/cell/rollout/checkpoint/dataset/config/environment bindings and strict live-input schema/digests reject rehashed tampering; launch-plan-only normal scientific config no longer enters preflight
